,詞,長度,標準症狀,備註,包含
6127,脈細細滑,4,脈寬度細。脈寬度細。脈利度滑。,脈診,
6128,脈細緩緩,4,脈寬度細。脈速度慢。脈速度慢。,脈診,
6129,舌紅稍黯,4,舌體顏色紫色。,舌診,_
6130,脈緊弱滑,4,脈緊度緊。脈力度弱。脈利度滑。,脈診,
6131,脈結弱細,4,脈速度慢。脈止率亂。脈力度弱。脈寬度細。,脈診,
6132,脈緊弦細,4,脈緊度緊。脈緊度緊。脈長度長。脈寬度細。,脈診,
6133,脈緊弦數,4,脈緊度緊。脈緊度緊。脈長度長。脈速度快。,脈診,
6134,脈細緩數,4,脈寬度細。脈速度慢。脈速度快。,脈診,
6135,脈細緊澀,4,脈寬度細。脈緊度緊。脈利度澀。脈幅異常。,脈診,
6136,膝部會痛,4,膝痛。,新,_
6137,脈細緩微,4,脈寬度細。脈速度慢。脈寬度細。脈力度弱。,脈診,
6138,舌淡紅胖,4,舌體顏色淡紅色。舌體形體胖厚。,舌診,_
6139,脈弱滑數,4,脈力度弱。脈利度滑。脈速度快。,脈診,
6140,脈滑大澀,4,脈利度滑。脈寬度寬。脈利度澀。脈幅異常。,脈診,
6141,脈弱滑沉,4,脈力度弱。脈利度滑。脈部位沉。,脈診,
6142,苔黃厚乾,4,舌苔顏色黃。舌苔厚度厚。舌苔濕度乾。,舌診,_
6143,脈弱滑滑,4,脈力度弱。脈利度滑。脈利度滑。,脈診,
6144,脈弱滑澀,4,脈力度弱。脈利度滑。脈利度澀。脈幅異常。,脈診,
6145,脈弱滑細,4,脈力度弱。脈利度滑。脈寬度細。,脈診,
6146,脈弱澀弱,4,脈力度弱。脈利度澀。脈幅異常。脈力度弱。,脈診,
6147,脈弱浮緩,4,脈力度弱。脈部位浮。脈速度慢。,脈診,
6148,脈弱澀數,4,脈力度弱。脈利度澀。脈幅異常。脈速度快。,脈診,
6149,小便夜頻,4,夜間小便次多。,新,_
6150,脈弱緩代,4,脈力度弱。脈速度慢。脈止率定。,脈診,
6151,大便多軟,4,大便質稀。,新,_
6152,耳部會痛,4,耳痛。,新,_
6153,足跟會痛,4,足跟痛。,新,_
6154,走路會痛,4,？。,新,_
6155,行走會痛,4,？。,新,_
6156,胃部會痛,4,胃痛。,新,_
6157,足踝會痛,4,足踝痛。,新,_
6158,脈細沉滑,4,脈寬度細。脈部位沉。脈利度滑。,脈診,
6159,咽部會痛,4,喉痛。,新,_
6160,脈細滑弦,4,脈寬度細。脈利度滑。脈緊度緊。脈長度長。,脈診,
6161,脈弱滑弦,4,脈力度弱。脈利度滑。脈緊度緊。脈長度長。,脈診,
6162,肩部會痛,4,肩痛。,新,_
6163,大便成型,4,,新,_
6164,脈弱滑動,4,脈力度弱。脈利度滑。脈速度快。脈力度強。脈利度滑。脈長度短。,脈診,
6165,內踝疼痛,4,足踝痛。,新,_
6166,鼻竇炎史,4,,新,_
6167,足仍抽筋,4,四肢抽筋。,新,_
6168,足易扭傷,4,？。,新,_
6169,手掌汗出,4,四肢汗出。,新,_
6170,胃悶脹痛,4,胃悶。胃脹。胃痛。,新,_
6171,胃嘈雜痛,4,嘈雜。胃痛。,新,_
6172,足底麻木,4,足麻。,新,_
6173,手足冰冷,4,四肢冷。,新,_
6174,大便秘結,4,大便次少。大便質硬。,新,_
6175,無特氣味,4,,新,_
6176,家族史無,4,,新,_
6177,個人史無,4,,新,_
6178,足無水腫,4,,新,_
6179,不可飲茶,4,,新,_
6180,小腹下墜,4,子宮脫垂。,新,_
6181,全身酸痛,4,全身酸。全身痛。,新,_
6182,下肢抽搐,4,下肢抽搐。,,_
6183,眠可納可,4,,新,_
6184,脈弱浮滑,4,脈力度弱。脈部位浮。脈利度滑。,脈診,
6185,脈弱澀滑,4,脈力度弱。脈利度澀。脈幅異常。脈利度滑。,脈診,
6186,脈細短滑,4,脈寬度細。脈長度短。脈利度滑。,脈診,
6187,體重下降,4,全身消瘦。,新,_
6188,脈緊微數,4,脈緊度緊。脈寬度細。脈力度弱。脈速度快。,脈診,
6189,脈緩稍細,4,脈速度慢。脈寬度細。,脈診,
6190,脈細滑細,4,脈寬度細。脈利度滑。脈寬度細。,脈診,
6191,體重減輕,4,全身消瘦。,新,_
6192,脈弱濡數,4,脈力度弱。脈部位浮。脈力度弱。脈寬度細。脈速度快。,脈診,
6193,苔白稍膩,4,舌苔顏色白。舌苔質地黏膩。,舌診,_
6194,腹部絞痛,4,腹痛。,新,_
6195,脈緩細弱,4,脈速度慢。脈寬度細。脈力度弱。,脈診,
6196,脈緩稍緊,4,脈速度慢。脈緊度緊。,脈診,
6197,腸胃脹氣,4,腹脹。,新,_
6198,脈緩結大,4,脈速度慢。脈速度慢。脈止率亂。脈寬度寬。,脈診,
6199,脈弱沉澀,4,脈力度弱。脈部位沉。脈利度澀。脈幅異常。,脈診,
6200,十二指腸,4,,新,_
6201,脈緩稍濡,4,脈速度慢。脈部位浮。脈力度弱。脈寬度細。,脈診,
6202,脈緩稍澀,4,脈速度慢。脈利度澀。脈幅異常。,脈診,
6203,解便用力,4,大便不暢。,新,_
6204,脈緩稍浮,4,脈速度慢。脈部位浮。,脈診,
6205,脈緩稍沉,4,脈速度慢。脈部位沉。,脈診,
6206,脈緩稍弱,4,脈速度慢。脈力度弱。,脈診,
6207,脈緩稍弦,4,脈速度慢。脈緊度緊。脈長度長。,脈診,
6208,脈緩結代,4,脈速度慢。脈速度慢。脈止率亂。脈止率定。,脈診,
6209,脈結稍弦,4,脈速度慢。脈止率亂。脈緊度緊。脈長度長。,脈診,
6210,脈長細弦,4,脈長度長。脈寬度細。脈緊度緊。脈長度長。,脈診,
6211,脈稍數大,4,脈速度快。脈寬度寬。,脈診,
6212,脈緩弦滑,4,脈速度慢。脈緊度緊。脈長度長。脈利度滑。,脈診,
6213,脈緩弦細,4,脈速度慢。脈緊度緊。脈長度長。脈寬度細。,脈診,
6214,脈細短數,4,脈寬度細。脈長度短。脈速度快。,脈診,
6215,脈細短弱,4,脈寬度細。脈長度短。脈力度弱。,脈診,
6216,脈緊微弦,4,脈緊度緊。脈寬度細。脈力度弱。脈緊度緊。脈長度長。,脈診,
6217,脈緊弦緩,4,脈緊度緊。脈緊度緊。脈長度長。脈速度慢。,脈診,
6218,脈稍數弦,4,脈速度快。脈緊度緊。脈長度長。,脈診,
6219,脈稍數弱,4,脈速度快。脈力度弱。,脈診,
6220,脈稍數散,4,脈速度快。脈緊度散。,脈診,
6221,脈稍數細,4,脈速度快。脈寬度細。,脈診,
6222,脈長細弱,4,脈長度長。脈寬度細。脈力度弱。,脈診,
6223,脈長弦緊,4,脈長度長。脈緊度緊。脈長度長。脈緊度緊。,脈診,
6224,小便頻數,4,小便次多。,新,_
6225,脈長弦細,4,脈長度長。脈緊度緊。脈長度長。脈寬度細。,脈診,
6226,脈長弦數,4,脈長度長。脈緊度緊。脈長度長。脈速度快。,脈診,
6227,脊椎酸痛,4,背酸。背痛。,新,_
6228,脈虛稍數,4,脈力度弱。脈速度快。,脈診,
6229,脈虛沉弱,4,脈力度弱。脈部位沉。脈力度弱。,脈診,
6230,脈弱散弱,4,脈力度弱。脈緊度散。脈力度弱。,脈診,
6231,脈緩澀結,4,脈速度慢。脈利度澀。脈幅異常。脈速度慢。脈止率亂。,脈診,
6232,脈緩澀弱,4,脈速度慢。脈利度澀。脈幅異常。脈力度弱。,脈診,
6233,脈緩滑結,4,脈速度慢。脈利度滑。脈速度慢。脈止率亂。,脈診,
6234,脈緊細緩,4,脈緊度緊。脈寬度細。脈速度慢。,脈診,
6235,脈緊大數,4,脈緊度緊。脈寬度寬。脈速度快。,脈診,
6236,脈弱沉細,4,脈力度弱。脈部位沉。脈寬度細。,脈診,
6237,脈弱浮弱,4,脈力度弱。脈部位浮。脈力度弱。,脈診,
6238,脈弱弦澀,4,脈力度弱。脈緊度緊。脈長度長。脈利度澀。脈幅異常。,脈診,
6239,口乾欲飲,4,口乾。,新,_
6240,脈稍數數,4,脈速度快。脈速度快。,脈診,
6241,脈弱沉緩,4,脈力度弱。脈部位沉。脈速度慢。,脈診,
6242,脈細緊滑,4,脈寬度細。脈緊度緊。脈利度滑。,脈診,
6243,脈弱弱弱,4,脈力度弱。脈力度弱。脈力度弱。,脈診,
6244,脈弱弦代,4,脈力度弱。脈緊度緊。脈長度長。脈止率定。,脈診,
6245,背部易癢,4,背癢。,新,_
6246,脈弱弦弱,4,脈力度弱。脈緊度緊。脈長度長。脈力度弱。,脈診,
6247,脈弱弦數,4,脈力度弱。脈緊度緊。脈長度長。脈速度快。,脈診,
6248,脈弱弦滑,4,脈力度弱。脈緊度緊。脈長度長。脈利度滑。,脈診,
6249,舌苔中白,4,舌苔顏色白。,新,_
6250,脈弱稍結,4,脈力度弱。脈速度慢。脈止率亂。,脈診,
6251,全身乏力,4,全身無力。,新,_
6252,脈弱弦細,4,脈力度弱。脈緊度緊。脈長度長。脈寬度細。,脈診,
6253,晚睡早起,4,？。,新,_
6254,脈弱弱數,4,脈力度弱。脈力度弱。脈速度快。,脈診,
6255,脈弱微細,4,脈力度弱。脈寬度細。脈力度弱。脈寬度細。,脈診,
6256,脈弱弱澀,4,脈力度弱。脈力度弱。脈利度澀。脈幅異常。,脈診,
6257,脈弱弱結,4,脈力度弱。脈力度弱。脈速度慢。脈止率亂。,脈診,
6258,脈弱微弦,4,脈力度弱。脈寬度細。脈力度弱。脈緊度緊。脈長度長。,脈診,
6259,脈弱澀細,4,脈力度弱。脈利度澀。脈幅異常。脈寬度細。,脈診,
6260,脈大浮滑,4,脈寬度寬。脈部位浮。脈利度滑。,脈診,
6261,三日一行,4,大便次少。,新,_
6262,舌邊紅暗,4,舌體顏色紫色。,新,_
6263,脈緊弦大,4,脈緊度緊。脈緊度緊。脈長度長。脈寬度寬。,脈診,
6264,脈弱微數,4,脈力度弱。脈寬度細。脈力度弱。脈速度快。,脈診,
6265,脈弱細緊,4,脈力度弱。脈寬度細。脈緊度緊。,脈診,
6266,脈緩細數,4,脈速度慢。脈寬度細。脈速度快。,脈診,
6267,脈緩細澀,4,脈速度慢。脈寬度細。脈利度澀。脈幅異常。,脈診,
6268,脈弱稍促,4,脈力度弱。脈速度快。脈止率亂。,脈診,
6269,脈弱澀結,4,脈力度弱。脈利度澀。脈幅異常。脈速度慢。脈止率亂。,脈診,
6270,脈弱稍動,4,脈力度弱。脈速度快。脈力度強。脈利度滑。脈長度短。,脈診,
6271,脈弱稍弦,4,脈力度弱。脈緊度緊。脈長度長。,脈診,
6272,苔白中裂,4,舌苔顏色白。舌苔形體部分剝落。,舌診,_
6273,脈弱稍弱,4,脈力度弱。脈力度弱。,脈診,
6274,脈弱稍散,4,脈力度弱。脈緊度散。,脈診,
6275,子宮切除,4,,新,_
6276,脈弱稍數,4,脈力度弱。脈速度快。,脈診,
6277,脈大微弦,4,脈寬度寬。脈寬度細。脈力度弱。脈緊度緊。脈長度長。,脈診,
6278,脈動稍滑,4,脈速度快。脈力度強。脈利度滑。脈長度短。脈利度滑。,脈診,
6279,脈動稍數,4,脈速度快。脈力度強。脈利度滑。脈長度短。脈速度快。,脈診,
6280,脈弱稍沉,4,脈力度弱。脈部位沉。,脈診,
6281,脈弱稍浮,4,脈力度弱。脈部位浮。,脈診,
6282,脈弱稍滑,4,脈力度弱。脈利度滑。,脈診,
6283,脈弱稍澀,4,脈力度弱。脈利度澀。脈幅異常。,脈診,
6284,脈弱稍細,4,脈力度弱。脈寬度細。,脈診,
6285,脈弱浮弦,4,脈力度弱。脈部位浮。脈緊度緊。脈長度長。,脈診,
6286,脈弱緩弱,4,脈力度弱。脈速度慢。脈力度弱。,脈診,
6287,腰仍酸痛,4,腰酸。腰痛。,新,_
6288,脈弱緩沉,4,脈力度弱。脈速度慢。脈部位沉。,脈診,
6289,脈稍沉緊,4,脈部位沉。脈緊度緊。,脈診,
6290,脈稍沉數,4,脈部位沉。脈速度快。,脈診,
6291,脈稍沉弱,4,脈部位沉。脈力度弱。,脈診,
6292,脈稍沉弦,4,脈部位沉。脈緊度緊。脈長度長。,脈診,
6293,脈稍有緊,4,脈緊度緊。,脈診,
6294,脈稍滑大,4,脈利度滑。脈寬度寬。,脈診,
6295,脈稍有細,4,脈寬度細。,脈診,
6296,脈稍有澀,4,脈利度澀。脈幅異常。,脈診,
6297,脈稍有滑,4,脈利度滑。,脈診,
6298,脈稍有浮,4,脈部位浮。,脈診,
6299,脈稍有數,4,脈速度快。,脈診,
6300,脈滑澀滑,4,脈利度滑。脈利度澀。脈幅異常。脈利度滑。,脈診,
6301,脈稍沉沉,4,脈部位沉。脈部位沉。,脈診,
6302,脈稍弱弦,4,脈力度弱。脈緊度緊。脈長度長。,脈診,
6303,痰量稍多,4,痰量多。,新,_
6304,脈稍沉虛,4,脈部位沉。脈力度弱。,脈診,
6305,脈稍洪大,4,脈寬度寬。脈寬度寬。,脈診,
6306,脈稍滑促,4,脈利度滑。脈速度快。脈止率亂。,脈診,
6307,脈稍浮緩,4,脈部位浮。脈速度慢。,脈診,
6308,脈稍沉細,4,脈部位沉。脈寬度細。,脈診,
6309,脈稍有緩,4,脈速度慢。,脈診,
6310,脈稍滑弦,4,脈利度滑。脈緊度緊。脈長度長。,脈診,
6311,脈稍緊細,4,脈緊度緊。脈寬度細。,脈診,
6312,脈稍有弱,4,脈力度弱。,脈診,
6313,脈稍沉濡,4,脈部位沉。脈部位浮。脈力度弱。脈寬度細。,脈診,
6314,脈濡滑滑,4,脈部位浮。脈力度弱。脈寬度細。脈利度滑。脈利度滑。,脈診,
6315,脈稍有散,4,脈緊度散。,脈診,
6316,脈稍濡弱,4,脈部位浮。脈力度弱。脈寬度細。脈力度弱。,脈診,
6317,脈緊細滑,4,脈緊度緊。脈寬度細。脈利度滑。,脈診,
6318,脈緊稍數,4,脈緊度緊。脈速度快。,脈診,
6319,脈緊稍弱,4,脈緊度緊。脈力度弱。,脈診,
6320,脈緊稍弦,4,脈緊度緊。脈緊度緊。脈長度長。,脈診,
6321,脈緊滑數,4,脈緊度緊。脈利度滑。脈速度快。,脈診,
6322,中氣不足,4,？。,新,_
6323,脈緊浮滑,4,脈緊度緊。脈部位浮。脈利度滑。,脈診,
6324,脈緩弱弦,4,脈速度慢。脈力度弱。脈緊度緊。脈長度長。,脈診,
6325,脈緩弱沉,4,脈速度慢。脈力度弱。脈部位沉。,脈診,
6326,脈緩弱澀,4,脈速度慢。脈力度弱。脈利度澀。脈幅異常。,脈診,
6327,脈稍細滑,4,脈寬度細。脈利度滑。,脈診,
6328,脈緩弱細,4,脈速度慢。脈力度弱。脈寬度細。,脈診,
6329,脈緩滑散,4,脈速度慢。脈利度滑。脈緊度散。,脈診,
6330,脈緩滑弱,4,脈速度慢。脈利度滑。脈力度弱。,脈診,
6331,脈緩沉緊,4,脈速度慢。脈部位沉。脈緊度緊。,脈診,
6332,脈緩沉細,4,脈速度慢。脈部位沉。脈寬度細。,脈診,
6333,脈緩沉滑,4,脈速度慢。脈部位沉。脈利度滑。,脈診,
6334,脈緩沉弱,4,脈速度慢。脈部位沉。脈力度弱。,脈診,
6335,脈稍滑澀,4,脈利度滑。脈利度澀。脈幅異常。,脈診,
6336,脈稍滑沉,4,脈利度滑。脈部位沉。,脈診,
6337,脈稍滑數,4,脈利度滑。脈速度快。,脈診,
6338,脈稍細濡,4,脈寬度細。脈部位浮。脈力度弱。脈寬度細。,脈診,
6339,痰少白黃,4,痰量少。痰色白。痰色黃。,新,_
6340,脈稍緊澀,4,脈緊度緊。脈利度澀。脈幅異常。,脈診,
6341,脈澀稍弦,4,脈利度澀。脈幅異常。脈緊度緊。脈長度長。,脈診,
6342,脈滑稍數,4,脈利度滑。脈速度快。,脈診,
6343,脈稍動滑,4,脈速度快。脈力度強。脈利度滑。脈長度短。脈利度滑。,脈診,
6344,脈短細緩,4,脈長度短。脈寬度細。脈速度慢。,脈診,
6345,脈短細緊,4,脈長度短。脈寬度細。脈緊度緊。,脈診,
6346,脈稍弦沉,4,脈緊度緊。脈長度長。脈部位沉。,脈診,
6347,脈稍弦浮,4,脈緊度緊。脈長度長。脈部位浮。,脈診,
6348,脈稍弦滑,4,脈緊度緊。脈長度長。脈利度滑。,脈診,
6349,脈滑滑澀,4,脈利度滑。脈利度滑。脈利度澀。脈幅異常。,脈診,
6350,脈滑澀結,4,脈利度滑。脈利度澀。脈幅異常。脈速度慢。脈止率亂。,脈診,
6351,脈稍細沉,4,脈寬度細。脈部位沉。,脈診,
6352,脈稍沉滑,4,脈部位沉。脈利度滑。,脈診,
6353,脈細促動,4,脈寬度細。脈速度快。脈止率亂。脈速度快。脈力度強。脈利度滑。脈長度短。,脈診,
6354,脈澀沉弱,4,脈利度澀。脈幅異常。脈部位沉。脈力度弱。,脈診,
6355,脈滑滑滑,4,脈利度滑。脈利度滑。脈利度滑。,脈診,
6356,脈稍弦緊,4,脈緊度緊。脈長度長。脈緊度緊。,脈診,
6357,右側瘀斑,4,？。,新,_
6358,脈稍弦緩,4,脈緊度緊。脈長度長。脈速度慢。,脈診,
6359,脈短細澀,4,脈長度短。脈寬度細。脈利度澀。脈幅異常。,脈診,
6360,脈滑稍弦,4,脈利度滑。脈緊度緊。脈長度長。,脈診,
6361,脈滑濡弱,4,脈利度滑。脈部位浮。脈力度弱。脈寬度細。脈力度弱。,脈診,
6362,脈濡滑緩,4,脈部位浮。脈力度弱。脈寬度細。脈利度滑。脈速度慢。,脈診,
6363,脈濡滑細,4,脈部位浮。脈力度弱。脈寬度細。脈利度滑。脈寬度細。,脈診,
6364,脈稍大浮,4,脈寬度寬。脈部位浮。,脈診,
6365,脈稍沉緩,4,脈部位沉。脈速度慢。,脈診,
6366,脈稍弦代,4,脈緊度緊。脈長度長。脈止率定。,脈診,
6367,脈滑滑動,4,脈利度滑。脈利度滑。脈速度快。脈力度強。脈利度滑。脈長度短。,脈診,
6368,脈稍緩細,4,脈速度慢。脈寬度細。,脈診,
6369,脈稍緩滑,4,脈速度慢。脈利度滑。,脈診,
6370,足部會痛,4,足痛。,新,_
6371,脈稍緩弱,4,脈速度慢。脈力度弱。,脈診,
6372,脈稍緩弦,4,脈速度慢。脈緊度緊。脈長度長。,脈診,
6373,脈稍緊滑,4,脈緊度緊。脈利度滑。,脈診,
6374,脈稍滑弱,4,脈利度滑。脈力度弱。,脈診,
6375,脈稍緊數,4,脈緊度緊。脈速度快。,脈診,
6376,脈稍滑緩,4,脈利度滑。脈速度慢。,脈診,
6377,脈稍緊弱,4,脈緊度緊。脈力度弱。,脈診,
6378,脈稍緊弦,4,脈緊度緊。脈緊度緊。脈長度長。,脈診,
6379,脈稍結緩,4,脈速度慢。脈止率亂。脈速度慢。,脈診,
6380,脈稍緊大,4,脈緊度緊。脈寬度寬。,脈診,
6381,脈稍細緩,4,脈寬度細。脈速度慢。,脈診,
6382,脈稍滑散,4,脈利度滑。脈緊度散。,脈診,
6383,脈濡細大,4,脈部位浮。脈力度弱。脈寬度細。脈寬度細。脈寬度寬。,脈診,
6384,脈濡稍緩,4,脈部位浮。脈力度弱。脈寬度細。脈速度慢。,脈診,
6385,脈弦弱浮,4,脈緊度緊。脈長度長。脈力度弱。脈部位浮。,脈診,
6386,脈滑稍弱,4,脈利度滑。脈力度弱。,脈診,
6387,脈滑滑大,4,脈利度滑。脈利度滑。脈寬度寬。,脈診,
6388,脈稍弦動,4,脈緊度緊。脈長度長。脈速度快。脈力度強。脈利度滑。脈長度短。,脈診,
6389,脈緩滑數,4,脈速度慢。脈利度滑。脈速度快。,脈診,
6390,脈緩大數,4,脈速度慢。脈寬度寬。脈速度快。,脈診,
6391,脈緩數弱,4,脈速度慢。脈速度快。脈力度弱。,脈診,
6392,喉嚨微痛,4,喉痛。,新,_
6393,脈滑緊弦,4,脈利度滑。脈緊度緊。脈緊度緊。脈長度長。,脈診,
6394,脈細微弱,4,脈寬度細。脈寬度細。脈力度弱。脈力度弱。,脈診,
6395,脈稍細弦,4,脈寬度細。脈緊度緊。脈長度長。,脈診,
6396,肩頸酸痛,4,肩痛。頸項痛。肩酸。頸項酸。,新,_
6397,脈細微弦,4,脈寬度細。脈寬度細。脈力度弱。脈緊度緊。脈長度長。,脈診,
6398,脈細微大,4,脈寬度細。脈寬度細。脈力度弱。脈寬度寬。,脈診,
6399,脈細弱長,4,脈寬度細。脈力度弱。脈長度長。,脈診,
6400,脈細弱遲,4,脈寬度細。脈力度弱。脈速度慢。,脈診,
6401,脈細弱緩,4,脈寬度細。脈力度弱。脈速度慢。,脈診,
6402,脈細弱緊,4,脈寬度細。脈力度弱。脈緊度緊。,脈診,
6403,脈細弱結,4,脈寬度細。脈力度弱。脈速度慢。脈止率亂。,脈診,
6404,脈細弱滑,4,脈寬度細。脈力度弱。脈利度滑。,脈診,
6405,脈細弱細,4,脈寬度細。脈力度弱。脈寬度細。,脈診,
6406,脈細弱澀,4,脈寬度細。脈力度弱。脈利度澀。脈幅異常。,脈診,
6407,脈稍散濡,4,脈緊度散。脈部位浮。脈力度弱。脈寬度細。,脈診,
6408,脈細弦細,4,脈寬度細。脈緊度緊。脈長度長。脈寬度細。,脈診,
6409,脈細微滑,4,脈寬度細。脈寬度細。脈力度弱。脈利度滑。,脈診,
6410,脈滑緊浮,4,脈利度滑。脈緊度緊。脈部位浮。,脈診,
6411,脈滑結促,4,脈利度滑。脈速度慢。脈止率亂。脈速度快。脈止率亂。,脈診,
6412,脈滑結滑,4,脈利度滑。脈速度慢。脈止率亂。脈利度滑。,脈診,
6413,脈濡細數,4,脈部位浮。脈力度弱。脈寬度細。脈寬度細。脈速度快。,脈診,
6414,脈濡細弱,4,脈部位浮。脈力度弱。脈寬度細。脈寬度細。脈力度弱。,脈診,
6415,脈細沉沉,4,脈寬度細。脈部位沉。脈部位沉。,脈診,
6416,皮膚稍癢,4,皮膚癢。,新,_
6417,脈細數沉,4,脈寬度細。脈速度快。脈部位沉。,脈診,
6418,脈細數滑,4,脈寬度細。脈速度快。脈利度滑。,脈診,
6419,脈稍浮滑,4,脈部位浮。脈利度滑。,脈診,
6420,脈細微浮,4,脈寬度細。脈寬度細。脈力度弱。脈部位浮。,脈診,
6421,脈數微滑,4,脈速度快。脈寬度細。脈力度弱。脈利度滑。,脈診,
6422,脈稍浮沉,4,脈部位浮。脈部位沉。,脈診,
6423,脈稍浮數,4,脈部位浮。脈速度快。,脈診,
6424,小便多頻,4,小便次多。,新,_
6425,脈稍浮弱,4,脈部位浮。脈力度弱。,脈診,
6426,脈稍浮弦,4,脈部位浮。脈緊度緊。脈長度長。,脈診,
6427,脈稍浮大,4,脈部位浮。脈寬度寬。,脈診,
6428,脈稍洪滑,4,脈寬度寬。脈利度滑。,脈診,
6429,脈稍洪數,4,脈寬度寬。脈速度快。,脈診,
6430,噴嚏頻發,4,噴嚏。,新,_
6431,脈細弱濡,4,脈寬度細。脈力度弱。脈部位浮。脈力度弱。脈寬度細。,脈診,
6432,脈細弦動,4,脈寬度細。脈緊度緊。脈長度長。脈速度快。脈力度強。脈利度滑。脈長度短。,脈診,
6433,脈細滑濡,4,脈寬度細。脈利度滑。脈部位浮。脈力度弱。脈寬度細。,脈診,
6434,欲便不暢,4,大便不暢。,新,_
6435,脈細數長,4,脈寬度細。脈速度快。脈長度長。,脈診,
6436,脈細數結,4,脈寬度細。脈速度快。脈速度慢。脈止率亂。,脈診,
6437,脈細數細,4,脈寬度細。脈速度快。脈寬度細。,脈診,
6438,脈細數短,4,脈寬度細。脈速度快。脈長度短。,脈診,
6439,脈細數澀,4,脈寬度細。脈速度快。脈利度澀。脈幅異常。,脈診,
6440,脈細微數,4,脈寬度細。脈寬度細。脈力度弱。脈速度快。,脈診,
6441,脈細微緊,4,脈寬度細。脈寬度細。脈力度弱。脈緊度緊。,脈診,
6442,脈稍浮緊,4,脈部位浮。脈緊度緊。,脈診,
6443,脈稍細弱,4,脈寬度細。脈力度弱。,脈診,
6444,小便有泡,4,？。,新,_
6445,脈緩微弦,4,脈速度慢。脈寬度細。脈力度弱。脈緊度緊。脈長度長。,脈診,
6446,脈緩微大,4,脈速度慢。脈寬度細。脈力度弱。脈寬度寬。,脈診,
6447,脈緩弱虛,4,脈速度慢。脈力度弱。脈力度弱。,脈診,
6448,脈細滑結,4,脈寬度細。脈利度滑。脈速度慢。脈止率亂。,脈診,
6449,脈細滑短,4,脈寬度細。脈利度滑。脈長度短。,脈診,
6450,脈稍散弱,4,脈緊度散。脈力度弱。,脈診,
6451,脈稍澀弱,4,脈利度澀。脈幅異常。脈力度弱。,脈診,
6452,痰感咳嗽,4,？。,新,_
6453,脈稍細數,4,脈寬度細。脈速度快。,脈診,
6454,脈細弦澀,4,脈寬度細。脈緊度緊。脈長度長。脈利度澀。脈幅異常。,脈診,
6455,脈細弱沉,4,脈寬度細。脈力度弱。脈部位沉。,脈診,
6456,脈細數緊,4,脈寬度細。脈速度快。脈緊度緊。,脈診,
6457,脈稍短緊,4,脈長度短。脈緊度緊。,脈診,
6458,脈滑澀數,4,脈利度滑。脈利度澀。脈幅異常。脈速度快。,脈診,
6459,脈緊細濡,4,脈緊度緊。脈寬度細。脈部位浮。脈力度弱。脈寬度細。,脈診,
6460,脈稍細澀,4,脈寬度細。脈利度澀。脈幅異常。,脈診,
6461,痰作挾血,4,痰挾血。,新,_
6462,脈稍滑結,4,脈利度滑。脈速度慢。脈止率亂。,脈診,
6463,脈稍滑細,4,脈利度滑。脈寬度細。,脈診,
6464,心氣鬱結,4,情緒憂鬱。,新,_
6465,脈緩微滑,4,脈速度慢。脈寬度細。脈力度弱。脈利度滑。,脈診,
6466,脈緩微弱,4,脈速度慢。脈寬度細。脈力度弱。脈力度弱。,脈診,
6467,脈稍浮細,4,脈部位浮。脈寬度細。,脈診,
6468,脈稍浮澀,4,脈部位浮。脈利度澀。脈幅異常。,脈診,
6469,牙齦腫痛,4,牙齦腫。牙齦痛。,新,_
6470,脈細微結,4,脈寬度細。脈寬度細。脈力度弱。脈速度慢。脈止率亂。,脈診,
6471,脈細微澀,4,脈寬度細。脈寬度細。脈力度弱。脈利度澀。脈幅異常。,脈診,
6472,肛門脹感,4,肛門腫。,新,_
6473,脈細弱弱,4,脈寬度細。脈力度弱。脈力度弱。,脈診,
6474,脈細弱弦,4,脈寬度細。脈力度弱。脈緊度緊。脈長度長。,脈診,
6475,脈細弱實,4,脈寬度細。脈力度弱。脈寬度寬。脈長度長。,脈診,
6476,脈細弱大,4,脈寬度細。脈力度弱。脈寬度寬。,脈診,
6477,脈細弱促,4,脈寬度細。脈力度弱。脈速度快。脈止率亂。,脈診,
6478,脈細弱代,4,脈寬度細。脈力度弱。脈止率定。,脈診,
6479,脈細弦遲,4,脈寬度細。脈緊度緊。脈長度長。脈速度慢。,脈診,
6480,脈細弦緩,4,脈寬度細。脈緊度緊。脈長度長。脈速度慢。,脈診,
6481,脈稍弱弱,4,脈力度弱。脈力度弱。,脈診,
6482,脈稍弱緩,4,脈力度弱。脈速度慢。,脈診,
6483,脈弦微細,4,脈緊度緊。脈長度長。脈寬度細。脈力度弱。脈寬度細。,脈診,
6484,脈細弦滑,4,脈寬度細。脈緊度緊。脈長度長。脈利度滑。,脈診,
6485,脈細弦緊,4,脈寬度細。脈緊度緊。脈長度長。脈緊度緊。,脈診,
6486,脈細弦沉,4,脈寬度細。脈緊度緊。脈長度長。脈部位沉。,脈診,
6487,脈細弦數,4,脈寬度細。脈緊度緊。脈長度長。脈速度快。,脈診,
6488,脈細弦弱,4,脈寬度細。脈緊度緊。脈長度長。脈力度弱。,脈診,
6489,脈細弱數,4,脈寬度細。脈力度弱。脈速度快。,脈診,
6490,重心不穩,4,步態不穩。,新,_
6491,脈濡滑短,4,脈部位浮。脈力度弱。脈寬度細。脈利度滑。脈長度短。,脈診,
